Fecha,Clics,Impresiones,CTR,Posición
2026-02-25,19,858,2.21%,4.4
2026-02-26,21,1041,2.02%,4.3
2026-02-27,15,962,1.56%,5
2026-02-28,7,767,0.91%,5.4
2026-03-01,16,777,2.06%,5.4
2026-03-02,19,977,1.94%,4.6
2026-03-03,23,1041,2.21%,4.7
2026-03-04,20,1098,1.82%,4.8
2026-03-05,26,1020,2.55%,4.6
2026-03-06,13,1055,1.23%,5.1
2026-03-07,8,918,0.87%,5.5
2026-03-08,14,866,1.62%,5.4
2026-03-09,18,1005,1.79%,5.3
2026-03-10,13,1075,1.21%,4.8
2026-03-11,19,1034,1.84%,5
2026-03-12,42,1445,2.91%,3.3
2026-03-13,33,1110,2.97%,4.2
2026-03-14,17,978,1.74%,4.5
2026-03-15,20,1014,1.97%,4.8
2026-03-16,26,1014,2.56%,4.7
2026-03-17,18,978,1.84%,4.4
2026-03-18,15,1170,1.28%,5.3
2026-03-19,19,1111,1.71%,4.9
2026-03-20,21,907,2.32%,4.7
2026-03-21,12,834,1.44%,4.6
2026-03-22,15,902,1.66%,5.3
2026-03-23,18,909,1.98%,4.9
2026-03-24,13,904,1.44%,5
2026-03-25,19,988,1.92%,4.4
2026-03-26,37,979,3.78%,4.4
2026-03-27,23,989,2.33%,4.6
2026-03-28,18,931,1.93%,4.8
2026-03-29,19,912,2.08%,4.8
2026-03-30,37,1082,3.42%,4.2
2026-03-31,22,1200,1.83%,4.9
2026-04-01,31,1200,2.58%,5.8
2026-04-02,38,1231,3.09%,5.3
2026-04-03,7,1106,0.63%,5
2026-04-04,21,1090,1.93%,5.2
2026-04-05,13,1008,1.29%,5.1
2026-04-06,12,1050,1.14%,5.2
2026-04-07,26,1148,2.26%,4.4
2026-04-08,24,1145,2.1%,4.3
2026-04-09,22,1054,2.09%,4.5
2026-04-10,12,1089,1.1%,4.7
2026-04-11,14,947,1.48%,4.9
2026-04-12,13,1021,1.27%,4.8
2026-04-13,20,1139,1.76%,5.2
2026-04-14,20,922,2.17%,5
2026-04-15,15,1022,1.47%,4.8
2026-04-16,24,1214,1.98%,4.9
2026-04-17,21,1136,1.85%,5.2
2026-04-18,7,1022,0.68%,5.1
2026-04-19,15,1120,1.34%,5.4
2026-04-20,20,1165,1.72%,5.3
2026-04-21,13,1156,1.12%,5
2026-04-22,18,1117,1.61%,5.2
2026-04-23,14,1137,1.23%,5.2
2026-04-24,18,1109,1.62%,5.2
2026-04-25,10,1059,0.94%,5.5
2026-04-26,9,1025,0.88%,6
2026-04-27,17,1243,1.37%,5.6
2026-04-28,17,1190,1.43%,5.6
2026-04-29,17,1055,1.61%,5.5
2026-04-30,17,847,2.01%,5.1
2026-05-01,7,853,0.82%,5.9
2026-05-02,3,825,0.36%,5.6
2026-05-03,28,874,3.2%,5.5
2026-05-04,15,1067,1.41%,6.3
2026-05-05,13,994,1.31%,6.6
2026-05-06,14,886,1.58%,6.2
2026-05-07,20,963,2.08%,6.1
2026-05-08,14,796,1.76%,6.6
2026-05-09,7,731,0.96%,6.1
2026-05-10,8,745,1.07%,6.4
2026-05-11,26,1017,2.56%,5.9
2026-05-12,12,1072,1.12%,6.5
2026-05-13,7,874,0.8%,5.7
2026-05-14,16,999,1.6%,5.8
2026-05-15,14,878,1.59%,6.2
2026-05-16,10,922,1.08%,5.6
2026-05-17,17,1022,1.66%,5.8
2026-05-18,16,1034,1.55%,6.6
2026-05-19,11,1017,1.08%,7.1
2026-05-20,15,929,1.61%,6.2
2026-05-21,17,873,1.95%,6.3
2026-05-22,11,860,1.28%,6.9
2026-05-23,13,863,1.51%,6.3
2026-05-24,7,820,0.85%,6.9
2026-05-25,19,943,2.01%,6.4
2026-05-26,20,1041,1.92%,6.3
2026-05-27,18,947,1.9%,5.8
2026-05-28,28,1037,2.7%,5.8
2026-05-29,46,1120,4.11%,5.6
2026-05-30,24,1124,2.14%,5.7
2026-05-31,51,1252,4.07%,5.3
2026-06-01,83,1449,5.73%,5.3
2026-06-02,56,1454,3.85%,5.3
2026-06-03,76,1453,5.23%,5.1
2026-06-04,46,1205,3.82%,5.9
2026-06-05,16,1163,1.38%,6.4
2026-06-06,30,1044,2.87%,6.5
2026-06-07,44,1034,4.26%,6.5
2026-06-08,64,1221,5.24%,6.3
2026-06-09,53,1207,4.39%,5.6
2026-06-10,50,1120,4.46%,6
2026-06-11,56,1054,5.31%,5.9
2026-06-12,49,1142,4.29%,6.6
2026-06-13,48,1118,4.29%,6.5
2026-06-14,46,1094,4.2%,6.4
2026-06-15,46,1239,3.71%,6.1
2026-06-16,44,1380,3.19%,6.9
2026-06-17,56,1353,4.14%,7.1
2026-06-18,56,1256,4.46%,6.3
2026-06-19,31,1245,2.49%,6
2026-06-20,37,1075,3.44%,6.9
2026-06-21,27,1065,2.54%,6.8
2026-06-22,46,1395,3.3%,6
2026-06-23,33,1332,2.48%,6.3
2026-06-24,14,1357,1.03%,6.1
2026-06-25,16,1272,1.26%,6.5
2026-06-26,15,1126,1.33%,6.8
2026-06-27,21,1170,1.79%,6.6
2026-06-28,9,1083,0.83%,7.1
2026-06-29,11,1176,0.94%,6.6
2026-06-30,31,1332,2.33%,6.3
2026-07-01,23,1136,2.02%,6.8
2026-07-02,17,1112,1.53%,6.8
2026-07-03,16,1108,1.44%,6.8
2026-07-04,19,1177,1.61%,6.6
2026-07-05,20,1159,1.73%,6.8
2026-07-06,30,1426,2.1%,6.9
2026-07-07,12,1366,0.88%,7.2
2026-07-08,24,1482,1.62%,7
2026-07-09,18,1340,1.34%,6.2
2026-07-10,11,1319,0.83%,6.6
2026-07-11,15,1272,1.18%,6.4
2026-07-12,24,1240,1.94%,6.6
2026-07-13,30,1410,2.13%,6.2
2026-07-14,22,1367,1.61%,6.6
2026-07-15,15,1197,1.25%,6.9
2026-07-16,12,1027,1.17%,6.8
2026-07-17,9,991,0.91%,6.8
2026-07-18,9,1054,0.85%,7.2
2026-07-19,12,1043,1.15%,7.2
2026-07-20,36,1315,2.74%,7.1
2026-07-21,26,1310,1.98%,6.9
2026-07-22,37,1661,2.23%,6.4
2026-07-23,27,1293,2.09%,6.4
2026-07-24,23,1424,1.62%,6.5
2026-07-25,18,1289,1.4%,6.7
2026-07-26,16,1303,1.23%,7.1
2026-07-27,18,1447,1.24%,7.2
2026-07-28,19,1369,1.39%,6.8
2026-07-29,28,1454,1.93%,7
2026-07-30,16,1444,1.11%,7
2026-07-31,23,1290,1.78%,6.7
2026-08-01,17,1447,1.17%,6.4
2026-08-02,24,1381,1.74%,7.2
2026-08-03,63,1591,3.96%,6.8
2026-08-04,54,1760,3.07%,6.6
2026-08-05,11,1788,0.62%,6.9
2026-08-06,18,1582,1.14%,6.8
2026-08-07,22,1635,1.35%,7.1
2026-08-08,17,1796,0.95%,7.2
2026-08-09,18,1895,0.95%,7.1
2026-08-10,18,2152,0.84%,7.4
2026-08-11,23,2129,1.08%,6.9
2026-08-12,25,1940,1.29%,7.2
2026-08-13,19,1956,0.97%,6.9
2026-08-14,20,1816,1.1%,6.9
2026-08-15,13,1509,0.86%,7.4
2026-08-16,27,1581,1.71%,7
2026-08-17,33,1977,1.67%,7.2
2026-08-18,14,1876,0.75%,6.7
2026-08-19,24,1857,1.29%,7
2026-08-20,10,2043,0.49%,7.5
2026-08-21,30,2083,1.44%,7.5
2026-08-22,19,1763,1.08%,7.4
2026-08-23,20,1994,1%,7.5
2026-08-24,45,1916,2.35%,6.7
2026-08-25,35,1718,2.04%,7
2026-08-26,69,1656,4.17%,6.7
2026-08-27,32,1625,1.97%,7
2026-08-28,22,1590,1.38%,7.1
2026-08-29,36,1655,2.18%,7.7
2026-08-30,29,1866,1.55%,7.4
2026-08-31,52,2357,2.21%,7.5
2026-09-01,39,2260,1.73%,7.3
2026-09-02,43,2188,1.97%,7
2026-09-03,23,1813,1.27%,7.3
2026-09-04,26,1663,1.56%,6.7
2026-09-05,14,1547,0.9%,6.6
2026-09-06,25,1567,1.6%,6.6
2026-09-07,31,2169,1.43%,6.3
2026-09-08,43,2302,1.87%,7
